Gene stable ID	Transcript stable ID	Transcription start site (TSS)	NCBI gene ID	RefSeq mRNA ID	Gene name	Chromosome/scaffold name	Strand
ENSG00000275323	ENST00000618751	54201473	6203	NM_001321702	AC012314.7	CHR_HSCHR19LRC_LRC_J_CTG3_1	1
ENSG00000275323	ENST00000618751	54201473	6203	NM_001321704	AC012314.7	CHR_HSCHR19LRC_LRC_J_CTG3_1	1
ENSG00000275323	ENST00000618751	54201473	6203	NM_001321706	AC012314.7	CHR_HSCHR19LRC_LRC_J_CTG3_1	1
ENSG00000275323	ENST00000618751	54201473	6203	NM_001321705	AC012314.7	CHR_HSCHR19LRC_LRC_J_CTG3_1	1
ENSG00000275323	ENST00000618751	54201473	6203	NM_001321701	AC012314.7	CHR_HSCHR19LRC_LRC_J_CTG3_1	1
ENSG00000275323	ENST00000618751	54201473	6203	NM_001013	AC012314.7	CHR_HSCHR19LRC_LRC_J_CTG3_1	1
ENSG00000273642	ENST00000613276	54102906	4696	NM_004542	AC012314.1	CHR_HSCHR19LRC_LRC_J_CTG3_1	1
ENSG00000273875	ENST00000620398	54081380	441864	NM_001135686	TARM1	CHR_HSCHR19LRC_PGF2_CTG3_1	-1
ENSG00000276220	ENST00000612327	54102906	4696	NM_004542	AC012314.11	CHR_HSCHR19LRC_COX2_CTG3_1	1
ENSG00000281894	ENST00000625422	44555193	55888	NM_001288591	ZKSCAN7	CHR_HG2066_PATCH	1
ENSG00000281894	ENST00000629459	44555203	55888	NM_025169	ZKSCAN7	CHR_HG2066_PATCH	1
ENSG00000281894	ENST00000626497	44555208	55888	NM_001288590	ZKSCAN7	CHR_HG2066_PATCH	1
ENSG00000281894	ENST00000626497	44555208	55888	NM_018651	ZKSCAN7	CHR_HG2066_PATCH	1
ENSG00000281894	ENST00000627156	44555444	55888	NM_001288592	ZKSCAN7	CHR_HG2066_PATCH	1
ENSG00000276982	ENST00000610577	54102740	126014	NM_206818	OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	-1
ENSG00000276982	ENST00000622326	54102740	126014	NM_001282349	OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	-1
ENSG00000276982	ENST00000611918	54102740	126014	NM_001282350	OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	-1
ENSG00000276982	ENST00000611987	54102740	126014	NM_130771	OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	-1
ENSG00000276982	ENST00000611987	54102740	126014	NM_133168	OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	-1
ENSG00000276982	ENST00000611987	54102740	126014	NM_133169	OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	-1
ENSG00000268991	ENST00000600179	16539066	100133301	NM_001310155	FAM231B	1	1
ENSG00000012983	ENST00000013125	50532609	11183	NM_198794	MAP4K5	14	-1
ENSG00000012983	ENST00000013125	50532609	11183	NM_006575	MAP4K5	14	-1
ENSG00000151748	ENST00000324679	50668331	60485	NM_021818	SAV1	14	-1
ENSG00000126456	ENST00000601291	49665802	3661	NM_001197122	IRF3	19	-1
ENSG00000126456	ENST00000377139	49665875	3661	NM_001571	IRF3	19	-1
ENSG00000126456	ENST00000377139	49665875	3661	NM_001197123	IRF3	19	-1
ENSG00000126456	ENST00000599223	49665705	3661	NM_001197124	IRF3	19	-1
ENSG00000126456	ENST00000600022	49665705	3661	NM_001197127	IRF3	19	-1
ENSG00000126456	ENST00000596765	49665705	3661	NM_001197128	IRF3	19	-1
ENSG00000126456	ENST00000599144	49665731	3661	NM_001197126	IRF3	19	-1
ENSG00000126456	ENST00000377135	49665875	3661	NM_001197125	IRF3	19	-1
ENSG00000149292	ENST00000529221	113314529	54970	NM_017868	TTC12	11	1
ENSG00000149292	ENST00000529221	113314529	54970	NM_001352037	TTC12	11	1
ENSG00000149292	ENST00000483239	113316241	54970	NM_001318533	TTC12	11	1
ENSG00000141858	ENST00000533683	14090708		NM_138352	SAMD1	19	-1
ENSG00000112941	ENST00000631941	6714789	11044	NM_006999	PAPD7	5	1
ENSG00000112941	ENST00000631941	6714789	11044	NM_001171805	PAPD7	5	1
ENSG00000112941	ENST00000514697	6745988	11044	NM_001171806	PAPD7	5	1
ENSG00000262814	ENST00000333676	81703357	6182	NM_002949	MRPL12	17	1
ENSG00000058673	ENST00000367212	203795699	9877	NM_014827	ZC3H11A	1	1
ENSG00000058673	ENST00000332127	203795706	9877	NM_001319239	ZC3H11A	1	1
ENSG00000058673	ENST00000332127	203795706	9877	NM_001319238	ZC3H11A	1	1
ENSG00000176605	ENST00000325812	98711613	283598	NM_182560	C14orf177	14	1
ENSG00000137726	ENST00000260282	117876733	53826	NM_001164836	FXYD6	11	-1
ENSG00000137726	ENST00000527717	117877486	53826	NM_001164831	FXYD6	11	-1
ENSG00000137726	ENST00000526014	117877182	53826	NM_022003	FXYD6	11	-1
ENSG00000137726	ENST00000526014	117877182	53826	NM_001164832	FXYD6	11	-1
ENSG00000137726	ENST00000539526	117877031	53826	NM_001164837	FXYD6	11	-1
ENSG00000105357	ENST00000601313	50203645	79784	NM_001145809	MYH14	19	1
ENSG00000105357	ENST00000425460	50203628	79784	NM_001077186	MYH14	19	1
ENSG00000105357	ENST00000376970	50203628	79784	NM_024729	MYH14	19	1
ENSG00000133055	ENST00000255416	203175813	4608	NM_004997	MYBPH	1	-1
ENSG00000188766	ENST00000338502	38390200	399473	NM_001042522	SPRED3	19	1
ENSG00000165684	ENST00000298532	136398797	6621	NM_003086	SNAPC4	9	-1
ENSG00000183475	ENST00000332783	100602534	140460	NM_198243	ASB7	15	1
ENSG00000183475	ENST00000343276	100602609	140460	NM_024708	ASB7	15	1
ENSG00000108559	ENST00000573584	5420160	4927	NM_001320653	NUP88	17	-1
ENSG00000108559	ENST00000573584	5420160	4927	NM_002532	NUP88	17	-1
ENSG00000153823	ENST00000392054	229271265	55022	NM_017933	PID1	2	-1
ENSG00000153823	ENST00000409462	229271280	55022	NM_001330157	PID1	2	-1
ENSG00000153823	ENST00000392055	229271285	55022	NM_001100818	PID1	2	-1
ENSG00000153823	ENST00000354069	229232085	55022	NM_001330156	PID1	2	-1
ENSG00000175602	ENST00000312579	65890112	11007	NM_006848	CCDC85B	11	1
ENSG00000174059	ENST00000310833	207911402	947	NM_001025109	CD34	1	-1
ENSG00000174059	ENST00000356522	207911402	947	NM_001773	CD34	1	-1
ENSG00000186318	ENST00000313005	117316256	23621	NM_012104	BACE1	11	-1
ENSG00000186318	ENST00000392937	117295636	23621	NM_001207048	BACE1	11	-1
ENSG00000186318	ENST00000510630	117295573	23621	NM_001207049	BACE1	11	-1
ENSG00000186318	ENST00000428381	117315798	23621	NM_138973	BACE1	11	-1
ENSG00000186318	ENST00000513780	117315798	23621	NM_138972	BACE1	11	-1
ENSG00000186318	ENST00000445823	117315798	23621	NM_138971	BACE1	11	-1
ENSG00000163431	ENST00000367288	201946587	25802	NM_012134	LMOD1	1	-1
ENSG00000170549	ENST00000302006	3596054	79192	NM_024337	IRX1	5	1
ENSG00000241978	ENST00000434623	110048598	11217	NM_001198656	AKAP2	9	1
ENSG00000241978	ENST00000374525	110048696	11217	NM_001004065	AKAP2	9	1
ENSG00000241978	ENST00000259318	110125501	11217	NM_001136562	AKAP2	9	1
ENSG00000235754	ENST00000425177	31643159	55937	NM_001256169	APOM	CHR_HSCHR6_MHC_SSTO_CTG1	1
ENSG00000235754	ENST00000432598	31646636	55937	NM_019101	APOM	CHR_HSCHR6_MHC_SSTO_CTG1	1
ENSG00000129667	ENST00000313080	76501407	79651	NM_024599	RHBDF2	17	-1
ENSG00000129667	ENST00000591885	76501790	79651	NM_001005498	RHBDF2	17	-1
ENSG00000156575	ENST00000287143	57381150	10394	NM_006093	PRG3	11	-1
ENSG00000117834	ENST00000438567	48222685	200010	NM_001011547	SLC5A9	1	1
ENSG00000117834	ENST00000236495	48222687	200010	NM_001135181	SLC5A9	1	1
ENSG00000170482	ENST00000353963	139383292	9963	NM_152685	SLC23A1	5	-1
ENSG00000170482	ENST00000348729	139383300	9963	NM_005847	SLC23A1	5	-1
ENSG00000099290	ENST00000282633	50067961	387680	NM_001005751	WASHC2A	10	1
